dataset,prompt_type,model,total_correct,total_trials,total_errors,overall_accuracy,total_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count
dtd,rulebased,google/gemini-2.5-flash,65,72,0,0.9028,198.0821,2.5575,2.2060,0
dtd,axioms_ontology_v2,google/gemini-2.5-flash,65,72,0,0.9028,169.4292,2.1653,1.7956,0
flowers,classification,google/gemma-4-26b-a4b-it,72,72,0,1.0000,229.8180,2.9703,2.6306,0
flowers,nle,google/gemma-4-26b-a4b-it,72,72,0,1.0000,621.0114,8.4373,8.0930,0
flowers,features,google/gemma-4-26b-a4b-it,72,72,0,1.0000,439.8825,5.9336,5.5629,0
flowers,rulebased,google/gemma-4-26b-a4b-it,72,72,0,1.0000,966.1032,13.2147,12.8515,0
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,71,72,0,0.9861,1366.9247,18.7835,18.4296,0
pets,classification,google/gemma-4-26b-a4b-it,69,72,0,0.9583,234.4116,3.0178,2.6743,0
pets,nle,google/gemma-4-26b-a4b-it,65,72,0,0.9028,229.8436,3.0183,2.6936,0
pets,features,google/gemma-4-26b-a4b-it,67,72,0,0.9306,180.2370,2.3251,2.0065,0
pets,rulebased,google/gemma-4-26b-a4b-it,69,72,0,0.9583,285.3579,3.7719,3.3973,0
pets,axioms_ontology_v2,google/gemma-4-26b-a4b-it,65,72,0,0.9028,304.3183,4.0539,3.7409,0
cifar10,classification,google/gemma-4-26b-a4b-it,70,72,0,0.9722,84.0911,1.0884,0.9886,0
cifar10,nle,google/gemma-4-26b-a4b-it,71,72,0,0.9861,152.8858,2.0539,1.9501,0
cifar10,features,google/gemma-4-26b-a4b-it,71,72,0,0.9861,96.7828,1.2758,1.1795,0
cifar10,rulebased,google/gemma-4-26b-a4b-it,69,72,0,0.9583,227.3630,3.0854,2.9928,0
cifar10,axioms_ontology_v2,google/gemma-4-26b-a4b-it,70,72,0,0.9722,264.0944,3.6039,3.5213,0
dtd,classification,google/gemma-4-26b-a4b-it,61,72,0,0.8472,142.1430,1.7949,1.4375,0
dtd,nle,google/gemma-4-26b-a4b-it,63,72,0,0.8750,317.5980,4.2286,3.8866,0
dtd,features,google/gemma-4-26b-a4b-it,58,72,0,0.8056,137.3612,1.7268,1.4009,0
dtd,rulebased,google/gemma-4-26b-a4b-it,62,72,0,0.8611,373.5190,5.0073,4.6473,0
dtd,axioms_ontology_v2,google/gemma-4-26b-a4b-it,60,72,0,0.8333,369.3336,4.8774,4.2833,0
flowers,classification,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,226.8258,2.7146,1.7318,0
flowers,nle,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,268.7070,3.2577,2.2208,0
flowers,features,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,190.7128,2.2086,1.2551,0
flowers,rulebased,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,345.3572,4.3751,3.4551,0
flowers,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,66,72,0,0.9167,316.4197,3.9548,2.9727,0
pets,classification,qwen/qwen3-vl-8b-instruct,68,72,0,0.9444,208.6131,2.4560,1.5313,0
pets,nle,qwen/qwen3-vl-8b-instruct,66,72,0,0.9167,297.2931,3.7106,2.7721,0
pets,features,qwen/qwen3-vl-8b-instruct,66,72,0,0.9167,199.2963,2.3307,1.3746,0
pets,rulebased,qwen/qwen3-vl-8b-instruct,64,72,0,0.8889,322.2450,4.0371,3.1023,0
pets,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,61,72,0,0.8472,285.0545,3.5502,2.6366,0
cifar10,classification,qwen/qwen3-vl-8b-instruct,69,72,0,0.9583,99.2759,1.2426,1.0382,0
cifar10,nle,qwen/qwen3-vl-8b-instruct,67,72,0,0.9306,176.1571,2.3011,2.1006,0
cifar10,features,qwen/qwen3-vl-8b-instruct,68,72,0,0.9444,109.7764,1.3828,1.1671,0
cifar10,rulebased,qwen/qwen3-vl-8b-instruct,67,72,0,0.9306,257.0010,3.4401,3.2422,0
cifar10,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,59,72,0,0.8194,204.0094,2.6871,2.4785,0
dtd,classification,qwen/qwen3-vl-8b-instruct,65,72,0,0.9028,208.7651,2.4742,1.5580,0
dtd,nle,qwen/qwen3-vl-8b-instruct,62,72,0,0.8611,253.9436,3.1165,2.2094,0
dtd,features,qwen/qwen3-vl-8b-instruct,64,72,0,0.8889,197.8496,2.3275,1.3763,0
dtd,rulebased,qwen/qwen3-vl-8b-instruct,63,72,0,0.8750,331.1527,4.1456,3.1861,0
dtd,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,53,72,0,0.7361,272.7386,3.3396,2.4205,0
flowers,classification,meta-llama/llama-4-scout,72,72,0,1.0000,158.3981,1.7845,0.8334,0
flowers,nle,meta-llama/llama-4-scout,72,72,0,1.0000,280.5449,3.3978,2.3041,0
flowers,features,meta-llama/llama-4-scout,72,72,0,1.0000,209.3945,2.4350,1.3509,0
flowers,rulebased,meta-llama/llama-4-scout,71,72,0,0.9861,381.1114,4.8117,3.8048,0
flowers,axioms_ontology_v2,meta-llama/llama-4-scout,69,72,0,0.9583,308.9374,3.8515,2.9381,0
pets,classification,meta-llama/llama-4-scout,66,72,0,0.9167,153.7667,1.6990,0.7839,0
pets,nle,meta-llama/llama-4-scout,67,72,0,0.9306,269.5258,3.3368,2.3863,0
pets,features,meta-llama/llama-4-scout,64,72,0,0.8889,192.1627,2.2326,1.2975,0
pets,rulebased,meta-llama/llama-4-scout,65,72,0,0.9028,356.2690,4.5071,3.5600,0
pets,axioms_ontology_v2,meta-llama/llama-4-scout,65,72,0,0.9028,290.9992,3.6511,2.7260,0
cifar10,classification,meta-llama/llama-4-scout,63,72,0,0.8750,81.4133,0.9846,0.7746,0
cifar10,nle,meta-llama/llama-4-scout,66,72,0,0.9167,159.8986,2.0814,1.8880,0
cifar10,features,meta-llama/llama-4-scout,65,72,0,0.9028,97.2764,1.2078,1.0193,0
cifar10,rulebased,meta-llama/llama-4-scout,61,72,0,0.8472,210.3770,2.7818,2.5875,0
cifar10,axioms_ontology_v2,meta-llama/llama-4-scout,62,72,0,0.8611,189.2938,2.4834,2.2847,0
dtd,classification,meta-llama/llama-4-scout,54,72,0,0.7500,161.0024,1.8127,0.8684,0
dtd,nle,meta-llama/llama-4-scout,55,72,0,0.7639,242.9750,2.9457,1.9959,0
dtd,features,meta-llama/llama-4-scout,54,72,0,0.7500,185.7656,2.1386,1.1923,0
dtd,rulebased,meta-llama/llama-4-scout,52,72,0,0.7222,315.4611,3.9207,2.9500,0
dtd,axioms_ontology_v2,meta-llama/llama-4-scout,60,72,0,0.8333,277.2754,3.4399,2.5012,0
